ra,dec,z,zErr,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class
0.60153,3.3008047,0.3274658,6.75E-05,1.319569,2.515608,11.98251,20.74498,29.65803,GALAXY
0.75087,3.5248923,0.1839254,2.83E-05,2.256032,2.792793,4.55599,5.573276,5.411088,GALAXY
0.54091,3.3848753,0.2946561,6.87E-05,1.623593,2.464861,11.56689,21.08267,30.21565,GALAXY
0.76542,3.5385065,0.3038656,4.76E-05,1.307349,3.324414,14.98483,25.99641,37.14083,GALAXY
0.54058,3.4473455,0.1879654,2.38E-05,3.374933,13.14117,45.57169,74.74635,106.5465,GALAXY
0.65175,3.4490778,0.6539296,0.000175838,3.125744,3.746436,3.72221,3.860123,4.12932,QSO
0.65248,3.6801562,-0.001070757,1.80E-05,19.31006,34.87902,49.12933,55.09951,56.74669,STAR
0.73549,3.4178434,0.3119884,4.87E-05,1.337697,5.00203,21.8338,36.69662,51.5565,GALAXY
0.5849,3.5038356,0.294859,5.67E-05,1.533603,3.011477,12.30822,21.27797,31.12241,GALAXY
0.71332,3.7601543,0.4854666,0.000124215,0.7704014,0.6967353,3.385281,7.261663,10.7148,GALAXY
0.63121,3.6999423,0.5019699,0.000145864,-0.5217614,0.6104858,2.788897,5.999469,9.650309,GALAXY
0.58134,3.6487144,2.059396,0.000552141,8.766465,9.309631,10.01794,10.27772,11.78522,QSO
0.75106,3.6917472,0.4323586,0.000121285,0.5361838,0.9686365,4.673385,8.905835,14.13122,GALAXY
0.68524,3.7159476,1.885797,0.001328334,1.706716,1.660711,1.696413,2.542556,2.015345,QSO
0.64724,2.9447854,0.5011721,0.000115185,1.818929,1.251438,3.511834,5.811114,8.634717,GALAXY
0.65839,2.9144764,0.5022164,0.000199595,0.9848685,0.8485118,3.449832,7.172854,11.27872,GALAXY
0.67689,2.9438053,1.390951,0.000385639,2.351332,2.087245,1.87987,2.507037,4.054554,QSO
0.6714,2.8147308,0.5041402,0.000117603,0.6344445,1.532912,5.987514,13.32513,21.13137,GALAXY
0.67605,3.1250014,-0.000373964,7.12E-05,0.3384665,1.362556,4.658132,9.70378,15.80317,STAR
0.61293,3.1638885,0.3768548,9.34E-05,-0.03272677,0.9641752,4.337723,9.737233,16.30387,GALAXY
0.55249,3.6063746,0.6051714,0.000224279,0.4259563,0.4790339,2.009432,6.009785,9.383943,GALAXY
0.53291,4.879368,0.8386028,0.000162905,1.697078,4.31813,5.255104,6.079666,7.41147,QSO
0.61903,4.736163,0.4306899,0.000119025,0.1754266,0.9120252,5.079336,10.01341,14.45453,GALAXY
0.58227,4.7790067,0.4326638,9.13E-05,0.554076,1.478295,7.932948,16.13895,24.30224,GALAXY
0.7368,4.6037296,0.599167,0.000308113,-0.4007967,0.2035957,1.192182,3.254543,4.824115,GALAXY
0.53884,4.5724219,0.5375873,0.000177674,-0.005182747,0.5124567,2.57728,6.511699,9.753476,GALAXY
1.2914446,0.63607098,-3.55E-05,7.36E-05,76.50859,53.71749,36.56806,27.17558,20.86653,STAR
1.3250976,0.30072182,0.2441767,2.88E-05,0.4591128,1.934541,6.887459,12.96741,21.06378,GALAXY
1.3328857,0.2045375,0.6140511,0.000128648,0.6713126,2.151211,4.220416,7.410712,9.705367,QSO
1.4159106,0.67467274,0.6373245,0.000137898,-1.10436,0.3762299,2.298825,7.019261,11.60248,GALAXY
1.3997095,0.62036748,0.6239244,0.000179662,-0.5499789,0.3746912,2.465452,7.380967,11.42418,GALAXY
1.3499714,0.51391179,0.5474811,0.000247851,-0.1507084,0.6286002,2.718171,6.865272,11.60013,GALAXY
1.3843364,0.52805259,0.5471023,0.000213341,-0.3234646,0.5675591,2.506633,5.880512,10.05642,GALAXY
1.5414163,0.26497725,0.6693653,0.00015812,1.115286,0.5502371,2.691177,8.523625,15.36835,GALAXY
1.334791,0.34054369,2.210712,0.000655242,2.685316,3.898141,4.501785,4.882397,7.086447,QSO
1.377669,0.231227,0.2442396,3.56E-05,1.996175,3.687572,10.49474,15.43778,21.42045,QSO
1.5302995,0.34142726,0.2633113,4.28E-05,0.3550948,4.549776,19.70684,33.99664,49.37834,GALAXY
1.3867657,0.44800245,0.6171573,0.000242971,-0.04947943,0.4478508,2.210089,6.743712,11.74134,GALAXY
1.436609,0.5992852,2.612425,0.001186613,-0.05566182,2.375863,3.872167,5.123913,6.773932,QSO
1.4095673,0.3013179,0.5093543,0.000154777,1.074024,0.7396827,3.388712,8.307258,13.24876,GALAXY
1.3942595,0.24496546,0.5513397,0.000210835,0.5986836,0.4639777,2.499341,6.840055,11.35254,GALAXY
1.432189,0.21610699,0.3178818,5.92E-05,-0.2436907,2.888966,15.19919,27.29714,40.19338,GALAXY
1.2966553,1.2306134,0.00019669,9.48E-06,39.25446,78.1589,113.6038,129.2148,134.987,STAR
1.3366765,1.0614212,0.2656782,4.43E-05,0.3881627,2.866791,11.71152,19.55462,27.75196,GALAXY
1.3626282,1.1663821,0.5318887,0.00015691,-0.5350609,0.6287984,2.495012,5.56754,9.716498,GALAXY
1.2995209,1.0186521,0.5498167,0.000100979,-0.3323213,0.646907,3.425013,9.320803,14.50455,GALAXY
1.2883601,0.41947515,0.4271805,0.000173054,0.2750354,0.5496765,2.695864,5.743876,9.33682,GALAXY
